Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00874,35.25385,-119.586805,ang20170915t195216-A,9/15/17,19:52,oil/gas gathering line,1B2 Oil & Natural Gas,113,53
S00875,35.247853,-119.580934,ang20170915t194029-C,9/15/17,19:40,oil/gas gathering line,1B2 Oil & Natural Gas,185,79
S00876,35.07978,-119.371455,ang20170906t183952-A,9/6/17,18:39,oil/gas gathering line,1B2 Oil & Natural Gas,140,40
S00877,35.115129,-119.466793,ang20170906t181121-A,9/6/17,18:11,oil/gas gathering line,1B2 Oil & Natural Gas,173,24
S00878,35.13108,-119.486581,ang20170906t181121-B,9/6/17,18:11,oil/gas gathering line,1B2 Oil & Natural Gas,132,19
S00879,35.278112,-119.600808,ang20170902t210014-C,9/2/17,21:00,oil/gas possible plugged well,1B2 Oil & Natural Gas,78,6
S00880,35.359645,-119.660583,ang20170902t210014-E,9/2/17,21:00,oil/gas pumpjack,1B2 Oil & Natural Gas,334,26
S00883,35.429696,-119.690074,ang20170905t211441-D,9/5/17,21:14,oil/gas tank,1B2 Oil & Natural Gas,192,41
S00885,35.341696,-119.646034,ang20170902t210014-D,9/2/17,21:00,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,192,54
S00886,35.24792,-119.581272,ang20170905t211441-A,9/5/17,21:14,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,788,308
S00887,35.265705,-119.594325,ang20170905t211441-B,9/5/17,21:14,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,321,144
S00890,35.061516,-119.390741,ang20170906t180213-B,9/6/17,18:02,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,142,22
S00890,35.061516,-119.390741,ang20170906t182858-B,9/6/17,18:28,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,69,6
S00891,35.101711,-119.459414,ang20170906t180213-C,9/6/17,18:02,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,390,51
S00892,37.627517,-120.93185,ang20170930t214843-B,9/30/17,21:48,powerplant,1A1 Energy Industries,113,58
S00893,36.804618,-121.777183,ang20171007t201538-A,10/7/17,20:15,powerplant,1A1 Energy Industries,85,29
S00894,34.397419,-118.643163,ang20170907t184927-B,9/7/17,18:49,oil/gas gathering line,1B2 Oil & Natural Gas,76,36
S00897,33.851301,-118.331618,ang20171024t184733-B,10/24/17,18:47,refinery,1A1 Energy Industries,36,20
S00897,33.851301,-118.331618,ang20171024t210834-A,10/24/17,21:08,refinery,1A1 Energy Industries,76,21
S00897,33.851301,-118.331618,ang20171024t213114-A,10/24/17,21:31,refinery,1A1 Energy Industries,32,10
S00899,33.847274,-118.318761,ang20171024t215215-C,10/24/17,21:52,refinery,1A1 Energy Industries,155,40
S00902,38.013177,-121.857922,ang20171006t195044-C,10/6/17,19:50,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,218,73
S00903,35.518482,-119.078125,ang20170908t211246-C,9/8/17,21:12,oil/gas pumpjack,1B2 Oil & Natural Gas,228,25
S00904,35.481366,-119.078058,ang20170902t190603-B,9/2/17,19:06,oil/gas tank,1B2 Oil & Natural Gas,255,38
S00904,35.481366,-119.078058,ang20170905t190452-B,9/5/17,19:04,oil/gas tank,1B2 Oil & Natural Gas,395,77
S00905,33.851096,-118.394712,ang20170901t214553-A,9/1/17,21:45,powerplant,1A1 Energy Industries,81,21
S00906,37.949872,-122.396908,ang20171005t175651-B,10/5/17,17:56,refinery,1A1 Energy Industries,,
S00908,38.04037,-122.251754,ang20171005t182102-A,10/5/17,18:21,refinery,1A1 Energy Industries,22,12
S00908,38.04037,-122.251754,ang20171005t182910-A,10/5/17,18:29,refinery,1A1 Energy Industries,20,14
