Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00685,33.8159,-117.8635,NA,gas distribution line,1B2 Oil & Natural Gas,6,0.33,0.8,148.4,31.9
S00686,33.7832,-118.2219,CNG000078,gas LNG station,1B2 Oil & Natural Gas,22,0.23,1,51.7,23
S00687,33.9107,-117.1229,COM000494,gas compressor,1B2 Oil & Natural Gas,2,0.5,0.4,287.9,133.3
S00689,35.4749,-119.4306,DAF001720,dairy/manure,3A2 Manure Management,21,0.19,1,12.2,5.6
S00691,35.473,-119.4305,DAF001720,dairy/manure,3A2 Manure Management,21,0.1,1,34.7,9.7
S00692,35.4734,-119.4322,DAF001720,dairy/manure,3A2 Manure Management,21,0.24,1,55.3,14.5
S00694,35.2804,-119.5094,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.17,1,18.3,6.4
S00696,35.2777,-119.4796,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.11,1,25.6,5.4
S00697,35.2517,-119.5733,LNF000030,oil/gas tank,1B2 Oil & Natural Gas,5,1,0.8,126.7,36.6
S00698,35.2605,-119.5749,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,2,1,0.4,240.2,51.8
S00700,36.251,-119.4848,DAF001380,dairy/manure,3A2 Manure Management,2,0.5,0.4,58.2,19.6
S00701,36.2476,-119.4046,DAF000781,dairy/manure,3A2 Manure Management,2,0.5,0.4,62.9,7.9
S00702,36.2371,-119.5718,DAF000848,dairy/manure,3A2 Manure Management,2,0.5,0.4,57.8,15.6
S00703,36.1886,-119.6775,DAF001320,dairy/manure - digester,3A2 Manure Management,8,0.13,0.9,24.7,10.7
S00704,36.1825,-119.6783,DAF001320,dairy/manure - digester,3A2 Manure Management,8,0.13,0.9,57.9,14.7
S00707,35.2507,-119.4048,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,5,0.2,0.8,34.9,7.4
